ターン,農家の資金,農家の資源,加工業者の資金,加工業者の資源
1,2000,60,4000,31
2,3000,85,3000,41
3,4000,109,2000,51
4,5000,113,1000,61
5,6000,114,0,71
6,6000,126,0,71
7,6000,157,0,71
8,6000,166,0,71
1,2000,84,3500,50,4500,35,6000,25
2,3000,74,4000,68,4000,40,5000,30
3,4000,64,4500,81,3500,45,4000,35
4,5000,54,5000,81,3000,50,3600,40
5,6000,38,5500,81,2500,55,2600,45
6,7000,15,6000,81,2000,60,1600,50
7,7000,1,7500,71,1500,65,600,55
8,7000,1,9000,80,0,75,600,55
9,7000,1,9000,80,0,82,600,55
